Index,Start,End,Duration,Epochs,Loss,Accuracy,Val_Loss,Val_Accuracy,Activation,Batch_Size,Dropout,First_Neuron,Hidden_Layers,Last_Activation,Losses,lr,Optimizer,shapes
424,05/29/21-034820,05/29/21-034835,15.44870663,150,0.285344154,0.875455976,0.332197815,0.856249988,relu,27,0.3,8,0,sigmoid,binary_crossentropy,1.4,Adam,funnel
425,05/29/21-034835,05/29/21-034913,37.41454077,150,0.020830223,0.945284009,0.054107644,0.850781262,relu,10,0.1,16,1,sigmoid,logcosh,0.5,Nadam,brick
426,05/29/21-034913,05/29/21-034953,40.2455976,150,0.131119266,0.68577385,0.134364516,0.690625012,elu,10,0.4,32,2,sigmoid,logcosh,4.55,Nadam,brick
427,05/29/21-034954,05/29/21-035009,15.05860901,150,0.04077933,0.875455976,0.051433794,0.842187524,relu,27,0.3,8,0,sigmoid,logcosh,4.1,Adam,brick
428,05/29/21-035009,05/29/21-035035,26.41843724,150,0.036089215,0.894215763,0.048592817,0.854687512,elu,16,0.3,64,1,sigmoid,logcosh,0.5,Adam,brick
429,05/29/21-035035,05/29/21-035058,23.00388813,150,0.088828489,0.719645619,0.063214615,0.842968762,relu,18,0.4,16,1,sigmoid,logcosh,2.3,Nadam,funnel
430,05/29/21-035059,05/29/21-035124,25.12401962,150,0.038207926,0.891610205,0.050145794,0.867968738,elu,18,0.2,64,2,sigmoid,logcosh,0.5,Nadam,funnel
431,05/29/21-035124,05/29/21-035142,17.86964917,150,0.030509021,0.917665422,0.056518406,0.846875012,elu,24,0.3,32,1,sigmoid,logcosh,4.55,RMSprop,brick
432,05/29/21-035142,05/29/21-035157,14.99900365,150,0.046604246,0.865033865,0.053641159,0.837499976,elu,27,0.3,4,0,sigmoid,logcosh,1.4,RMSprop,funnel
433,05/29/21-035157,05/29/21-035238,40.39253569,150,0.018104717,0.953621686,0.056356065,0.85546875,relu,10,0.2,64,2,sigmoid,logcosh,1.4,RMSprop,brick
434,05/29/21-035238,05/29/21-035528,170.0277824,150,0.046937354,0.878582597,0.06169305,0.842187524,relu,2,0.1,32,1,sigmoid,logcosh,4.1,Nadam,funnel
435,05/29/21-035528,05/29/21-035616,48.23680782,150,0.025946684,0.928087533,0.056948978,0.844531238,relu,7,0.3,32,0,sigmoid,logcosh,2.3,RMSprop,funnel
436,05/29/21-035617,05/29/21-035634,17.73093367,150,0.203455001,0.915581048,0.435412496,0.853124976,relu,24,0.4,32,0,sigmoid,binary_crossentropy,3.65,Nadam,brick
437,05/29/21-035635,05/29/21-035801,86.73140073,150,0.461390197,0.773319423,0.358123332,0.85546875,elu,4,0.4,4,2,sigmoid,binary_crossentropy,4.55,Adam,funnel
438,05/29/21-035801,05/29/21-035830,28.6030364,150,0.023569984,0.937467456,0.050322823,0.854687512,relu,13,0.2,32,0,sigmoid,logcosh,0.5,Nadam,brick
439,05/29/21-035830,05/29/21-035856,26.15190148,150,0.020611158,0.944241822,0.054968666,0.860156238,elu,16,0.2,64,1,sigmoid,logcosh,4.1,Adam,brick
440,05/29/21-035857,05/29/21-035917,20.37400031,150,0.228413671,0.908285558,0.454987139,0.834375024,relu,21,0,4,2,sigmoid,binary_crossentropy,4.55,RMSprop,funnel
441,05/29/21-035917,05/29/21-035936,18.56932926,150,0.028888457,0.917144358,0.049795054,0.860156238,elu,24,0.2,64,0,sigmoid,logcosh,2.3,Adam,brick
442,05/29/21-035936,05/29/21-040218,161.6201196,150,0.350145757,0.851485133,0.400436699,0.853124976,elu,2,0.4,8,0,sigmoid,binary_crossentropy,0.95,RMSprop,brick
443,05/29/21-040218,05/29/21-040316,58.54633808,150,0.234744266,0.903595626,0.393000484,0.854687512,relu,7,0.2,16,2,sigmoid,binary_crossentropy,3.65,Adam,brick
444,05/29/21-040317,05/29/21-040341,23.99313974,150,0.016953854,0.956227183,0.06050244,0.842187524,elu,18,0.1,32,2,sigmoid,logcosh,3.65,RMSprop,brick
445,05/29/21-040341,05/29/21-040421,40.24166393,150,0.206288323,0.925482035,0.386536181,0.8515625,relu,10,0.4,32,2,sigmoid,binary_crossentropy,0.5,Adam,brick
446,05/29/21-040421,05/29/21-040440,18.63524938,150,0.03433257,0.90411675,0.049338426,0.853906274,elu,21,0.3,16,0,sigmoid,logcosh,4.55,RMSprop,brick
447,05/29/21-040440,05/29/21-040724,163.9052119,150,0.016362,0.960396051,0.065014169,0.837499976,relu,2,0,64,0,sigmoid,logcosh,0.95,Nadam,funnel
448,05/29/21-040724,05/29/21-040746,21.82078052,150,0.344707668,0.792600334,0.336502969,0.861718774,relu,21,0.3,32,2,sigmoid,binary_crossentropy,2.3,Nadam,funnel
449,05/29/21-040746,05/29/21-040810,23.6137414,150,0.445829809,0.806670129,0.406233311,0.857812524,relu,18,0.3,32,1,sigmoid,binary_crossentropy,1.85,Adam,funnel
